Simulation,Iterations,Success,Score,Radius
1,54,True,0.0019844345944057657,1.5519461630860962
2,42,True,0.0014358071189129107,1.546062673520063
3,39,True,0.0013887570121005513,1.5452367768737267
4,129,False,0.33901598672150196,3.324992887368142
5,49,True,0.0018036230447064005,1.5678693607456418
6,129,False,1.0783389723068695,7.358824123261821
7,129,False,3.8023430467826524,5.634690071991566
8,129,False,1.226852374124392,3.889479978201623
9,22,True,0.0013457393009607334,1.547217028250178
10,129,False,1.330505900573394,4.505386163251332
11,24,True,0.0016982980048766102,1.5167967870333066
12,129,False,0.7741794350621175,3.384218605521614
13,129,False,3.9244726209004774,6.69934008118702
14,129,False,1.3687174533720095,5.356109487205027
15,32,True,0.001411927144531276,1.5453031741145187
16,50,True,0.0014178137284945956,1.5635965874180981
17,129,False,1.537206893418028,4.282859344394865
18,32,True,0.0011676677374606243,1.5454511887682278
19,18,True,0.0014574706723033636,1.533665567965702
20,129,False,1.1029636153632436,5.7951031916573355
21,51,True,0.001747929025898512,1.5498338837104013
22,129,False,1.9700935513655908,7.296910709481912
23,24,True,0.001942101224428833,1.5379341316851014
24,20,True,0.0015114001909923259,1.5644077222056199
25,37,True,0.001283833097698444,1.5463168623818269
26,129,False,1.3997254808576243,5.076599213218367
27,29,True,0.0012654546170137657,1.54193937290843
28,129,False,1.7945585273859634,5.542584581775404
29,129,False,1.4335376608110968,7.462392662665579
30,129,False,1.3146804473754266,6.0413668002133925
