Simulation,Iterations,Success,Score,Radius
1,129,False,4.0226722999084155,7.1190025143065965
2,129,False,6.2553788332627445,7.638470454157972
3,129,False,4.890482326185047,8.602604751940575
4,129,False,3.8493251494822296,8.628777123109655
5,129,False,4.0141493508059565,7.646192671219683
6,129,False,4.1213699713312595,7.16214939561466
7,129,False,5.865247376919649,8.779282084372928
8,129,False,4.9260619394983625,8.278556219567905
9,129,False,5.207801417718839,9.88937116399484
10,129,False,4.013637055454007,7.932689613310783
11,129,False,5.486822786338147,8.11369939319042
12,129,False,4.032419352540908,7.736370121554296
13,129,False,3.523789376641006,9.059519554372722
14,129,False,6.87252537537734,8.360690078502378
15,129,False,4.610062488809565,8.231567662037147
16,129,False,4.559655921469737,7.755627577824389
17,129,False,5.696656315312569,9.13858995764241
18,129,False,1.8170138086595866,4.902392576192378
19,129,False,5.984667727256789,8.841293382657465
20,129,False,6.218880956104146,8.410448413668167
21,129,False,7.271467755511702,8.58435354917184
22,129,False,6.853004323719851,8.731065741373694
23,129,False,7.665557925302698,10.54669872783673
24,129,False,4.097656461645639,6.606838827351905
25,129,False,4.533327377054651,7.603822373348402
26,129,False,4.9490631538329115,8.148775631922934
27,129,False,4.918492489481967,7.4467901900723685
28,129,False,6.08766149052178,7.604054095959502
29,129,False,3.5015240652314104,7.472754830907819
30,129,False,5.29009936159336,8.390312409866398
