Simulation,Iterations,Success,Score,Radius
1,16,True,0.001429204401539702,1.043898067583521
2,129,False,1.3945599865763125,2.8247138492926362
3,18,True,0.0012823896756777615,1.0370751292249187
4,22,True,0.0013669127848199198,1.0374773281584018
5,19,True,0.0015350191428171634,1.024175550456926
6,129,False,2.4296636029261327,3.57098446684435
7,16,True,0.0015458214136599517,1.0392067620857453
8,29,True,0.0015992103172842863,1.0247434262992126
9,16,True,0.001933026374363869,1.068293814192022
10,18,True,0.0012852097644152544,1.068429501913555
11,41,True,0.00175489912789423,1.006592385206965
12,14,True,0.0014559124904282056,1.0402281835761582
13,19,True,0.0018649869795322766,1.0467746886543536
14,17,True,0.0018563992820566678,1.0515136446557387
15,23,True,0.001578105210053796,1.0190777959893054
16,23,True,0.001472722567445207,1.0467592981648413
17,17,True,0.0016906893625227085,1.0642617899403386
18,17,True,0.001634709091272648,1.037955125419489
19,25,True,0.0012519205015488865,1.067086675941002
20,19,True,0.0013138869373514063,1.0480980711947974
21,17,True,0.0017804149002730116,1.0579570108255703
22,26,True,0.0013390289566005081,1.0510669849952545
23,25,True,0.0016990829830922296,1.0431245698156446
24,21,True,0.0013983131689193327,1.025552093089149
25,16,True,0.0014901489173837538,1.0696601959283607
26,23,True,0.0019620405026151274,1.066468435766747
27,17,True,0.0016597475164793602,1.0388549612994593
28,22,True,0.0013495038927114375,1.0414199948125498
29,129,False,1.734196293667536,2.616683583992731
30,21,True,0.001527880852387493,1.0476801169150787
