Simulation,Iterations,Success,Score,Radius
1,28,True,0.0018152345935155542,1.2250519142096976
2,129,False,1.055476348569374,3.06516982175037
3,36,True,0.0017445500033280506,1.2164702493651498
4,31,True,0.0017493543353618466,1.211771180181626
5,30,True,0.0016044009385316957,1.244790307501359
6,129,False,2.66281121746945,3.5689892305385493
7,129,False,0.4401496460145847,3.1071379664140295
8,48,True,0.0017593992113718742,1.2088534813386196
9,25,True,0.0017800033446129712,1.2646492349160066
10,16,True,0.0018674791741933982,1.2313874112916807
11,28,True,0.0015386321724956606,1.268243752428019
12,29,True,0.0015422908972982476,1.2616464320840537
13,64,True,0.0018097826038446512,1.2078560248825845
14,28,True,0.0011651811866241703,1.2687585026363009
15,24,True,0.0019175385309268093,1.2379312761718528
16,23,True,0.0017039026606495112,1.2399242172831217
17,38,True,0.0016343419056456027,1.2357065047979185
18,30,True,0.0012410110727822876,1.2563682256157367
19,129,False,0.7074319889902468,3.324000400258744
20,20,True,0.001957276178498168,1.2531101561330424
21,30,True,0.001519243117188352,1.2257505245777183
22,17,True,0.0013207573728516388,1.2445364515829063
23,15,True,0.0014198875606574602,1.2376634435241178
24,129,False,1.4440665480156472,1.5336421623585639
25,129,False,0.8851929185431131,4.288320760169572
26,129,False,3.292688623215112,3.591095047615224
27,20,True,0.0019660874727018465,1.2438936259422015
28,28,True,0.0017936547550714667,1.2285265776843615
29,28,True,0.001812271138517161,1.2165090639695038
30,26,True,0.001869496626853448,1.2146629487149334
