Simulation,Iterations,Success,Score,Num Clusters
1,27,True,0.31053870433484326,1
2,21,True,0.429277652363094,1
3,29,True,0.3274177948104507,1
4,23,True,0.41128118718740425,1
5,24,True,0.4201037786039448,1
6,23,True,0.459066858206766,1
7,24,True,0.45904018752990483,1
8,28,True,0.4138571937321861,1
9,25,True,0.4465033544345768,1
10,24,True,0.39761226343805534,1
11,24,True,0.3510553217967072,1
12,24,True,0.27409258514457274,1
13,23,True,0.2985988187016862,1
14,23,True,0.5755840137663142,1
15,22,True,0.39560980665130474,1
16,26,True,0.31475984270476337,1
17,129,False,4.883993411103298,2
18,28,True,0.2572302269709521,1
19,24,True,0.3021579721269271,1
20,25,True,0.46854740636100073,1
21,24,True,0.34525313296919746,1
22,21,True,0.40807374106077454,1
23,25,True,0.32595866696287407,1
24,21,True,0.4715299537671481,1
25,25,True,0.39578367813575865,1
26,24,True,0.2968129648815746,1
27,24,True,0.40822376491296813,1
28,25,True,0.43619298121726063,1
29,22,True,0.2723323772681985,1
30,25,True,0.3260208708991686,1
