Simulation,Iterations,Success,Score,Num Clusters
1,16,True,1.0011082442332389,1
2,25,True,0.3299928622631158,1
3,28,True,0.46792653222084035,1
4,28,True,0.4866944422237079,1
5,19,True,0.7042139941934601,1
6,21,True,0.45445827844195197,1
7,21,True,0.4463521074927932,1
8,25,True,0.27016347135995866,1
9,129,False,3.5256402216006144,2
10,129,False,4.399416455974695,2
11,129,False,5.012546440241442,2
12,129,False,5.814719188076452,2
13,23,True,0.31187011764735034,1
14,129,False,3.9133997282435837,2
15,24,True,0.35917422596763465,1
16,129,False,5.282419600628979,2
17,24,True,0.404285519633372,1
18,26,True,0.5671039865405213,1
19,23,True,0.34496369251817893,1
20,129,False,5.671435226249373,3
21,129,False,4.366004481475516,3
22,129,False,5.0649386256869935,2
23,17,True,0.43624494235382744,1
24,22,True,0.532626753261153,1
25,21,True,0.6757995247809214,1
26,24,True,0.4735474594394006,1
27,129,False,3.092353079291789,2
28,27,True,0.5681826604917507,1
29,27,True,0.4424065151718206,1
30,27,True,0.4460135057904841,1
